time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1702356774,1.9031292991930748,8.300218111002899,6.818511061632463,11.244664370018578,0.8244982080785079,17.52271714470916,10.883248347497798,0.5887871666496348,8.461254860544505,6.916336726745278,0.5538136389254102,1.0096331079078646,96272384,53526528,11403264,74772480,42094592,15822848,57909248,31985664,9052160,45813760,3018752,8638464,123.651,164,0,400,0,86,116,0,748.209,130.209,19.78,0,0.0032141556582603527,0.003838481490214572,0.04470802919708029,0.0031073374730705874,0.0032268041237113404,0.07807039616386098,0.0030279069767441863,0.0024757039784150735,0.007043515725975849,0.0023651169982893743,0.005714830015129996,0.00950958588957055,0.09157142857142855,0.005745912361020285,0.005090909090909091,0.24388427416058436,0.004650232558139535,0.004970572082632674,0.01862424097004166,0.004645382496724602
1702356775,1.9031292991930748,8.300218111002899,5.745883510403657,11.244664370018578,0.9882860279128075,17.52271714470916,10.883248347497798,0.5887871666496348,8.461254860544505,6.916336726745278,0.5538136389254102,1.2027078000808427,96272384,53526528,11403264,74772480,42094592,15822848,57909248,31985664,9052160,45813760,3018752,8638464,64,112,4,276,2,46,58,4,578,92,32,0,0.00320297699594046,0.0038208627833292716,0.04411764705882354,0.0030980379203276744,0.0032268041237113404,0.07808056872037915,0.0030289855072463765,0.0024251508476199595,0.006983122362869198,0.0023309294767356508,0.005551724137931027,0.009552306425041188,0.09126984126984128,0.005690725244072533,0.005090909090909091,0.24594062499999997,0.004652173913043478,0.004942457619002011,0.018558823529411746,0.00463515967883154
1702356776,1.9031292991930748,8.300218111002899,5.63224165937645,11.244664370018578,0.9569841124070123,14.700195469506175,10.883248347497798,0.5096731911918981,8.461254860544505,6.916336726745278,0.5538136389254102,1.2027078000808427,96272384,53526528,11403264,74772480,42094592,15822848,57909248,31985664,9052160,45813760,3018752,8638464,56.226,84,4,320,4,46,50,4,482,54,26,0,0.003227148703956344,0.003859067099027189,0.04330357142857143,0.0031271169555688386,0.0032270270270270273,0.07824937027707807,0.003029268292682927,0.0024692086133589353,0.0070340863251311,0.002350204081632653,0.0059753623188405856,0.009755380794701991,0.09044642857142858,0.006059366754617414,0.0050952380952381015,0.2477962515114873,0.004652682926829268,0.0049595117267864485,0.019213855421686722,0.004637224489795919
1702356777,1.9339586367608463,8.300218111002899,0.8476950000000016,11.244664370018578,0.9569841124070123,15.002067678010977,10.883248347497798,0.5096731911918981,8.461254860544505,6.962789627129003,0.5538136389254102,1.2027078000808427,96272384,53526528,11403264,74772480,42094592,15822848,57909248,31985664,9052160,45821952,3018752,8638464,58,92,2,344,2,48,52,2,568,64,26,0,0.0032202671880091236,0.0038460076045627374,0.042953020134228186,0.003113007350591243,0.0032404340649672073,0.07824937027707807,0.003037558685446009,0.0024454079254079258,0.007079823083403537,0.0023889816360601,0.005865819209039548,0.009789943227899436,0.08964285714285711,0.005952427821522305,0.005340855578695183,0.2477962515114873,0.004667605633802817,0.004959011655011656,0.019629132231404972,0.004646076794657762
1702356778,1.9339586367608463,8.300218111002899,1.098664562476399,11.244664370018578,0.9569841124070123,15.303939886515774,10.883248347497798,0.5096731911918981,8.461254860544505,6.962789627129003,0.4617467365677184,1.0056641721675978,96272384,53526528,10932224,74772480,42094592,15822848,57909248,31985664,9052160,45821952,3018752,8638464,54,62,0,210,2,36.217,26,0,430,44,16,0,0.0032202671880091236,0.0038460076045627374,0.042953020134228186,0.003113007350591243,0.0032421052631578947,0.07873015873015872,0.003037558685446009,0.0024504233563133297,0.00705078125,0.002351219512195122,0.005865819209039548,0.009789943227899436,0.08964285714285711,0.005952427821522305,0.005369565217391303,0.24990560100692247,0.004667605633802817,0.004957803174015638,0.02002520161290325,0.004634146341463414
1702356779,1.9339586367608463,8.751638920992475,1.2899539895031347,11.244664370018578,0.9569841124070123,18.112332510288066,10.883248347497798,0.5096731911918981,8.461254860544505,6.962789627129001,0.5577949786642827,1.1263491996983213,96272384,53526528,10932224,74772480,42094592,15822848,57909248,31985664,9052160,45821952,3022848,8634368,66,66,0,306,0,50.201,38,0,414,52,8,0,0.0032202671880091236,0.0038460076045627374,0.042953020134228186,0.003113007350591243,0.0032421052631578947,0.07874808771035186,0.003037558685446009,0.0024504233563133297,0.00705078125,0.002351219512195122,0.005865819209039548,0.009789943227899436,0.08964285714285711,0.005952427821522305,0.005369565217391303,0.2621153846153845,0.004667605633802817,0.004957803174015638,0.02002520161290325,0.004634146341463414
1702356780,1.9339586367608463,8.751638920992475,1.2899539895031347,9.854897008066542,0.9569841124070123,18.112332510288066,9.152177004092044,0.5096731911918981,8.463286746439703,6.962789627129001,0.5577949786642827,1.1263491996983213,96272384,53526528,10932224,74772480,42094592,15822848,57909248,31985664,9232384,45821952,3022848,8634368,52,116,4,328.93,6,54,58,4,682,84,34.869,0,0.003211657312735443,0.0038256700270469634,0.04226190476190476,0.0031005668556185395,0.0032421052631578947,0.07938808373590982,0.0030396039603960397,0.0023980092255401794,0.006993037423846824,0.0023094629156010234,0.005762023183679497,0.0098353765323993,0.08882978723404253,0.005844436569808649,0.005369565217391303,0.2783505154639175,0.004671287128712871,0.004930041272153435,0.020154867256637198,0.004617391304347827
1702356781,1.9339586367608463,8.751638920992475,1.2899539895031347,11.79144538914355,0.9569841124070123,18.112332510288066,8.970789531633747,0.5096731911918981,8.463286746439703,6.962789627129001,0.5577949786642827,1.1263491996983213,96272384,53526528,10932224,74772480,42094592,15822848,57909248,31985664,9232384,45821952,3022848,8634368,70,110,0,446,0,60,62,0,446,54,18,0,0.0032183908045977016,0.003850586181092542,0.04188741721854305,0.0031190269910029997,0.0032032085561497325,0.07831619537275063,0.0030499999999999998,0.002431613052534135,0.007011340206185567,0.0023244370308590496,0.005824324324324331,0.009865236051502147,0.08795454545454547,0.005960662525879925,0.004965775401069519,0.26269329896907256,0.00469,0.004924443415875954,0.01978525641025644,0.004617014178482069
1702356782,1.9339586367608463,8.751638920992475,1.2899539895031347,11.79144538914355,0.9569841124070123,15.354956289753085,10.825114719378819,0.5371934211791741,8.463286746439703,6.962789627129001,0.5577949786642827,1.1263491996983213,96272384,53526528,10932224,74772480,42094592,15822848,57917440,32296960,9232384,45821952,3022848,8634368,18,22,0,184,0,40,8,0,310,18,8,0,0.003198058252427184,0.003821192052980132,0.04188311688311688,0.0030966072455434154,0.0032150537634408603,0.07831619537275063,0.0030485436893203884,0.0024170915384255586,0.007068307170131524,0.0023856540084388187,0.00563095238095238,0.009788235294117648,0.08782608695652173,0.005737039563437931,0.004987096774193549,0.26269329896907256,0.004687378640776698,0.004922428551382199,0.020124168514412434,0.004633755274261603
1702356783,1.9339586367608463,8.751638920992475,1.2899539895031347,11.79144538914355,0.9569841124070123,17.91625765584378,10.825114719378819,0.5371934211791741,8.463286746439703,6.962789627129001,0.5577949786642827,1.1263491996983213,96272384,53526528,10932224,74772480,42094592,16449536,57917440,32296960,9232384,45821952,3022848,8634368,110.157,152,2,460,4.008,74,118,4,748,138,26,0,0.0031980537815059864,0.003821192052980132,0.04188311688311688,0.0030966072455434154,0.0032198952879581148,0.07900763358778626,0.0030485436893203884,0.0024215904868078787,0.006995876288659794,0.002343283582089552,0.005630885873862713,0.009788235294117648,0.08782608695652173,0.005737039563437931,0.0049958115183246065,0.278737113402062,0.004687378640776698,0.0049210330732069865,0.01963576158940399,0.0046225538971807634
