time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692578963,0.9764125108714092,4.301423504600224,0.9516138494938262,6.837816459351655,0.7103389586892221,14.523134123392815,7.633528086788295,0.3430682987187501,7.271544120428608,4.161823533801699,0.45336098441504724,0.8393603785188515,96911360,41029632,11440128,40620032,42336256,16728064,103444480,40886272,9539584,47996928,3047424,9048064,60,156,2,450,2,94,68,2,694,106,36,0,0,0.00123773173391494,0.0031560611446853895,0.04116972477064221,0.0004355580069865783,0.003,0.024307485432541458,0.001657142857142857,0.00032673826479822336,0.0033372796632465144,0.00038114406779661016,0.004310359869138494,0.004880910060433701,1.0062500000000016,0.15207371684464346,0.0046,0.6543417366946775,0.004331428571428572,0.0033729381443298955,0.007004073319755607,0.003874631751227496
1692578964,0.9764125108714092,4.301423504600224,0.9516138494938262,6.837816459351655,0.7103389586892221,14.523134123392815,7.633528086788295,0.3430682987187501,7.271544120428608,4.200538321049533,0.45336098441504724,0.8393603785188515,96911360,41029632,11440128,40620032,42336256,16728064,103444480,40886272,9539584,47996928,3047424,9048064,68,74,2,204,4,36,44,2,536,58,14,0,0,0.0012456331877729258,0.0031669156086631817,0.03836956521739131,0.00043139566518545386,0.003,0.023861665221162183,0.001657142857142857,0.0003312344042420462,0.0033472038165915717,0.0003832335329341317,0.0043277292576419215,0.004900448095593727,0.6708333333333337,0.11504964539007086,0.0046,0.5096573208722748,0.004331428571428572,0.0034918843872270636,0.007113545816733061,0.00388650406504065
1692578965,0.9764125108714092,4.301423504600224,0.9516138494938262,6.837816459351655,0.7103389586892221,14.523134123392815,7.692933188268028,0.3430682987187501,6.397000555991932,4.200538321049533,0.45336098441504724,0.8495922500585441,96911360,41029632,11440128,40620032,42336256,16728064,103448576,40886272,9539584,47996928,3047424,9048064,74,142,6,444,8,70,70,6,892,108,52,0,0,0.0012456331877729258,0.0031769974919383733,0.03836956521739131,0.00043139566518545386,0.003,0.023861665221162183,0.0017555555555555551,0.0003312344042420462,0.0033472038165915717,0.0003832335329341317,0.0043277292576419215,0.004918595485489073,0.6708333333333337,0.11504964539007086,0.0046,0.5096573208722748,0.004351111111111111,0.0034918843872270636,0.007113545816733061,0.00388650406504065
1692578966,0.9764125108714092,4.301423504600224,0.9516138494938262,6.837816459351655,0.7103389586892221,14.523134123392815,7.879839433696555,0.3430682987187501,6.525387353165936,4.200538321049533,0.45336098441504724,0.8495922500585441,96911360,41029632,11440128,40620032,42336256,16728064,103448576,40886272,9539584,47996928,3047424,9048064,54,98,8,308,10,50,56,10,600,76,48,0,0,0.0012451612903225807,0.0031769974919383733,0.03836956521739131,0.00043139566518545386,0.003,0.023861665221162183,0.001602941176470588,0.0003312344042420462,0.0033472038165915717,0.0003832335329341317,0.004326451612903227,0.004918595485489073,0.6708333333333337,0.11504964539007086,0.0046,0.5096573208722748,0.004320588235294118,0.0034918843872270636,0.007113545816733061,0.00388650406504065
1692578967,0.9764125108714092,4.301423504600224,0.9516138494938262,6.837816459351655,0.7103389586892221,14.47046352778772,7.879839433696555,0.3430682987187501,6.551064712600738,4.200538321049533,0.45336098441504724,0.8495922500585441,96911360,41029632,11440128,40620032,42336256,16584704,103448576,40886272,9539584,47996928,3047424,9048064,76,84,2,280,2,44,50,2,490,60,10,0,0,0.0012451612903225807,0.0031771469637082283,0.0375,0.0004308515462047701,0.003,0.02336228287841191,0.001515625,0.000331487835308796,0.003348739495798319,0.00038002566295979463,0.004326451612903227,0.004918864534674812,0.5409090909090919,0.11367288378766145,0.0046,0.47241620111731847,0.004303125,0.0034958228485153513,0.0071296660117878136,0.003868666666666666
1692578968,0.9764125108714092,4.301423504600224,0.9516138494938262,6.837816459351655,0.7103389586892221,11.613414150439832,7.879839433696555,0.2866092629083565,6.422677915426734,4.200538321049533,0.3939816979074732,0.8495922500585441,96911360,41029632,11440128,40620032,42336256,16584704,103448576,40886272,9539584,47996928,3047424,9048064,50,74,0,300,0,42,40,0,442,48,16,0,0,0.0012451612903225807,0.0031770386266094415,0.03699596774193549,0.0004319171125419425,0.003,0.02336228287841191,0.0016619718309859154,0.0003318094978165939,0.003348739495798319,0.0003838912133891213,0.004326451612903227,0.004918669527896995,0.4943181818181821,0.1133357245337159,0.0046,0.47241620111731847,0.0043323943661971835,0.0035003884225034447,0.0071296660117878136,0.0038892405063291136
1692578969,0.9764125108714092,4.301423504600224,0.9516138494938262,6.913746702072794,0.7103389586892221,11.85760291497047,7.879839433696555,0.2808914579297106,7.506644824551771,3.5579966182363325,0.45430886765586476,0.8495922500585441,96911360,41029632,11440128,41242624,42336256,16584704,103448576,40886272,9981952,47996928,3047424,9048064,64,126,2,362,4,66,68,2,682,94,48,0,0,0.0012678002125398513,0.003179704797047971,0.03616412213740458,0.00042002931539920674,0.003,0.022710125097732608,0.0016619718309859154,0.000332588683896314,0.0033488917861799216,0.00038604166666666664,0.004333475026567482,0.004923468634686348,0.42361111111111144,0.006253012048192773,0.0046,0.43677446102819245,0.0043323943661971835,0.003509122076649933,0.007118217054263563,0.0039004651162790694
1692578970,0.8631812066940217,4.049407597026989,0.9694791497680676,6.913746702072794,0.7103389586892221,12.101791679501101,7.879839433696555,0.34610528733838675,7.506644824551771,3.6303729555773026,0.45430886765586476,0.8495922500585441,96911360,41029632,11440128,41242624,42336256,16584704,103448576,40509440,9981952,47996928,3047424,9048064,50,108,2,348,2,62,52,4,606,82,42,0,0,0.0012678002125398513,0.0031721109940288025,0.03616412213740458,0.00042002931539920674,0.003,0.022710125097732608,0.0017801418439716311,0.000332588683896314,0.0033488917861799216,0.00038604166666666664,0.004333475026567482,0.004909799789251845,0.42361111111111144,0.006253012048192773,0.0046,0.43677446102819245,0.004356028368794327,0.003509122076649933,0.007118217054263563,0.0039004651162790694
1692578971,0.8469076648461646,3.4480705688684803,0.9694791497680676,6.913746702072794,0.7103389586892221,12.345980444031735,7.879839433696555,0.34610528733838675,7.506644824551771,3.7027492929182735,0.45430886765586476,0.8495922500585441,96911360,41029632,11440128,41242624,42336256,16584704,103448576,40509440,9981952,47996928,3047424,9048064,50,86,2,316,2,50,44,2,366,56,24,0,0,0.0012542553191489364,0.0031721109940288025,0.03616412213740458,0.00042002931539920674,0.003,0.022710125097732608,0.0017945205479452055,0.000332588683896314,0.0033488917861799216,0.00038604166666666664,0.004329148936170213,0.004909799789251845,0.42361111111111144,0.006253012048192773,0.0046,0.43677446102819245,0.004358904109589041,0.003509122076649933,0.007118217054263563,0.0039004651162790694
1692578972,0.8375211799217038,3.3805804422513646,0.9694791497680676,6.913746702072794,0.5538581091253436,12.590169208562369,7.879839433696555,0.34610528733838675,7.506644824551771,3.7751256302592435,0.45469529943726833,0.8495922500585441,96911360,41029632,11440128,41242624,42336256,16584704,103448576,40509440,9981952,47996928,3178496,9048064,84,132,2,304,2,58,68,2,770,98,32,0,0,0.0012542553191489364,0.0031725959845015856,0.03530534351145038,0.0004195119848249698,0.003,0.022202072538860106,0.0017153284671532845,0.0003328486692601009,0.0033434760185662715,0.00038229166666666663,0.004329148936170213,0.004910672772102854,0.3285714285714288,0.005819277108433702,0.0046,0.3851546391752576,0.004343065693430657,0.003512716621918475,0.007054368932038835,0.003880382775119617
