time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1702358682,1.9343456007798767,6.807636678064807,1.2583929322675527,10.846508335570846,0.9412403460890992,17.5724108337334,10.597634147686586,0.5976275516854711,8.517415215398476,6.754784819702355,0.5475049976933791,0.956193077005798,96645120,53510144,11272192,74883072,42262528,17182720,62324736,35774464,9400320,46526464,3026944,8736768,57.341,82,0,274.762,2,52,42,2,508,64,26,0,0,0.0031468361441731444,0.003711665098777046,0.04163669064748201,0.0031158276773315704,0.0031511627906976743,0.07621644295302013,0.003032967032967033,0.0024750684395776308,0.006928048255062473,0.0022948381452318465,0.004917733629037212,0.009136484098939931,0.08618421052631578,0.006200812878810476,0.004872093023255814,0.254705056179776,0.004659340659340659,0.004952268283144312,0.01886136783733825,0.004610148731408575
1702358683,1.9343456007798767,6.807636678064807,1.2583929322675527,10.846508335570846,0.9412403460890992,17.39062981243832,10.39343619668145,0.5976275516854711,8.517415215398476,6.754784819702355,0.5475049976933791,0.9377729266112552,96645120,53510144,11272192,74883072,42262528,17186816,62517248,35774464,9400320,46526464,3026944,8736768,70.112,136,4,422,4,64,68,4,638,106,34.553,0,0,0.0031468178954001257,0.003711665098777046,0.04163669064748201,0.003115816533621973,0.003152941176470588,0.07542372881355933,0.003032967032967033,0.0024158108430857423,0.006835679718433788,0.0022654155495978553,0.004917706364209199,0.009136484098939931,0.08618421052631578,0.006200704225352125,0.004875294117647058,0.2479986657771848,0.004659340659340659,0.004930413183663722,0.018091509433962295,0.004607506702412868
1702358684,1.9060830968492413,6.807636678064807,1.2583929322675527,10.846508335570846,0.9412403460890992,17.39062981243832,10.39343619668145,0.5976275516854711,8.517415215398476,6.754784819702355,0.5475049976933791,0.9193527762167117,96751616,53510144,11272192,74883072,42262528,17186816,62517248,35774464,9400320,46526464,3026944,8736768,52,102,8,334,8,32,56,6,484,68,30,0,0,0.0031468150875580787,0.003711665098777046,0.04163669064748201,0.003115816533621973,0.003152941176470588,0.07483164983164983,0.003032967032967033,0.0024158108430857423,0.006835679718433788,0.0022654155495978553,0.004917702169114526,0.009136484098939931,0.08618421052631578,0.006200704225352125,0.004875294117647058,0.24597678916827853,0.004659340659340659,0.004930413183663722,0.018091509433962295,0.004607506702412868
1702358685,1.9060830968492413,6.807636678064807,1.2583929322675527,10.846508335570846,0.9631124478509818,17.39062981243832,10.39343619668145,0.5976275516854711,7.075239373281192,6.754784819702355,0.5475049976933791,0.9009326258221687,96751616,53510144,11272192,74883072,42262528,17186816,62517248,35774464,9400320,46526464,3026944,8736768,56,94,4,238,4,44,50,4,480,70,26,0,0,0.0031468178954001257,0.003711665098777046,0.04163669064748201,0.003115816533621973,0.003152941176470588,0.07483164983164983,0.003032967032967033,0.0024158108430857423,0.006835679718433788,0.0022654155495978553,0.004917706364209199,0.009136484098939931,0.08618421052631578,0.006200704225352125,0.004875294117647058,0.24597678916827853,0.004659340659340659,0.004930413183663722,0.018091509433962295,0.004607506702412868
1702358686,1.9060830968492413,6.807636678064807,1.2231990924560137,10.626063284294451,0.9631124478509818,17.39062981243832,10.39343619668145,0.5976275516854711,8.369969102363367,6.673836248450586,0.5475049976933791,0.8825124754276258,96751616,53510144,11161600,75177984,42262528,17186816,62517248,35774464,9433088,46526464,3026944,8736768,68,100,4,388,4,58,54,6,482,68,22,0,0,0.003150285351934052,0.0037150283553875232,0.041666666666666664,0.0031445630795167187,0.0031454545454545455,0.07521539345203905,0.003033898305084746,0.0024128933231005374,0.0068551587301587304,0.0022668463611859833,0.00492428662016487,0.00912708883025506,0.0864864864864865,0.0065223214285714416,0.004861818181818182,0.24601385390428218,0.004661016949152543,0.004931082118188795,0.01821898496240604,0.004617250673854448
1702358687,1.9060830968492413,6.807636678064807,1.2231990924560137,10.626063284294451,0.9631124478509818,17.39062981243832,10.30791170698153,0.5976275516854711,8.369969102363367,6.673836248450586,0.5475049976933791,0.8640923250330828,96751616,53510144,11161600,75177984,42262528,17186816,62517248,35774464,9433088,46526464,3026944,8736768,66,120,12,394,8,62,62,12,660,88,40,0,0,0.0031475357710651825,0.0037096470588235298,0.04134615384615384,0.003119507435569612,0.00315028901734104,0.07521539345203905,0.003032258064516129,0.0024961914062500003,0.0068551587301587304,0.0022785145888594162,0.004924578696343403,0.009121131741821397,0.08527027027027027,0.006290729379686437,0.004870520231213873,0.24601385390428218,0.004658064516129033,0.004955332031250001,0.01821898496240604,0.004616976127320955
1702358688,1.9060830968492413,6.807636678064808,1.2231990924560137,10.626063284294451,0.9631124478509818,17.39062981243832,10.30791170698153,0.5571253976875978,8.369969102363367,6.782231150224247,0.5475049976933791,1.1241988273387704,96751616,53510144,11161600,75177984,42262528,17186816,62517248,35704832,9433088,46526464,3026944,8749056,58.104,116,4,309.058,5.968,44,58,4,604,86,38,0,0,0.0031475357710651825,0.0037096470588235298,0.04134615384615384,0.0031195159241713126,0.0031555588918965754,0.0765863331299573,0.003032258064516129,0.0024257784559629965,0.006894403148229122,0.0022610229276895945,0.004924578696343403,0.009121131741821397,0.08527027027027027,0.006290808612055953,0.004880006005413836,0.2483173076923078,0.004658064516129033,0.004932249296647752,0.0183527777777778,0.004621516754850089
1702358689,1.979887000622742,6.807636678064808,1.2231990924560137,10.626063284294451,0.9631124478509818,17.39062981243832,10.30791170698153,0.5571253976875978,8.369969102363367,6.782231150224247,0.5475049976933791,1.1241988273387704,96751616,53510144,11161600,75177984,42262528,17186816,62517248,35704832,9433088,46526464,3026944,8749056,58,90,4,366,4,54,36,4,539.78,61.78,32.583,0,0,0.0031475357710651825,0.0037096470588235298,0.04134615384615384,0.003119507435569612,0.0031555555555555555,0.07592159157401988,0.003032258064516129,0.0024257784559629965,0.006894403148229122,0.0022610229276895945,0.004924578696343403,0.009121131741821397,0.08527027027027027,0.006290729379686437,0.004880000000000001,0.24595238095238098,0.004658064516129033,0.004932249296647752,0.0183527777777778,0.004621516754850089
1702358690,1.979887000622742,6.807636678064808,1.2231990924560137,10.626063284294451,0.9631124478509818,17.39062981243832,10.30791170698153,0.5571253976875978,8.369969102363367,6.782231150224247,0.5425619276587701,1.1450384115622365,96751616,53510144,11161600,75177984,42262528,17186816,62517248,35704832,9433088,46526464,3026944,8749056,46,70,0,198,0,44,40,0,384,52,18,0,0,0.0031475313623382044,0.0037096470588235298,0.04134615384615384,0.003119507435569612,0.0031555555555555555,0.07592159157401988,0.003032258064516129,0.0024257784559629965,0.006894403148229122,0.0022610229276895945,0.004924572177939467,0.009121131741821397,0.08527027027027027,0.006290729379686437,0.004880000000000001,0.24595238095238098,0.004658064516129033,0.004932249296647752,0.0183527777777778,0.004621516754850089
1702358691,1.979887000622742,6.807636678064808,1.2313012007630992,10.626063284294451,0.9631124478509818,17.39062981243832,10.30791170698153,0.5571253976875978,8.369969102363367,6.782231150224247,0.5425619276587701,1.1450384115622365,96751616,53510144,11161600,75177984,42262528,17186816,62517248,35704832,9433088,46526464,3026944,8749056,64,132,4,342,8,64,56,6,754,104,44,0,0,0.003152914941064033,0.003722537878787879,0.04123263888888889,0.003137887413029728,0.0031477272727272725,0.07667457024303496,0.0030430107526881723,0.0024254791646800794,0.0068921868179834134,0.0022517857142857144,0.004934374004460019,0.009138381201044382,0.08486111111111111,0.006439890710382517,0.00486590909090909,0.24589041095890404,0.004677419354838711,0.004931667779155143,0.018319702602230502,0.0046217857142857146
