time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692634003,0.8633475549085659,4.780442932897583,8.35063978772367,5.833997499757476,0.5407426501620671,12.327125188881185,5.486997371513868,0.2957410714285786,5.892710514448228,4.502565532631323,0.270954610763129,0.780599673480708,95510528,40939520,10997760,40935424,42266624,19550208,93020160,37027840,9695232,48402432,3059712,9232384,54,88,0,228,0,40,48,2,236,80,26,0,0,0,0,0.0003323930418429713,0.0019221269296740991,0.6170212765957447,0.001420587151455596,0.0026901408450704226,1.457142857142857,0.0021965811965811966,0.17502248201438853,0.17681804906542056,0.00040514184397163127,0.0034000000000000007,0.0044974957118353335,2.236363636363636,0.004367055644269748,0.004560563380281691,2.3032034632034635,0.004439316239316239,0.23504046762589928,0.23827248831775702,0.003955428571428572
1692634004,0.8633475549085659,4.784336505028161,0.7954739191729105,5.833997499757476,0.5407426501620671,12.408907685512498,5.486997371513868,0.2957410714285786,5.892710514448228,4.502565532631323,0.270954610763129,0.7805996734807078,95510528,40943616,10686464,40935424,42266624,19550208,93020160,37027840,9695232,48402432,3059712,9232384,50.064,86,8,270,8,38,50,6,242,64,40,0,0,0,0,0.0003304263565891473,0.0019433543132173269,0.6063829787234042,0.0014124430142129257,0.0026901408450704226,1.4581712062256809,0.0021965811965811966,0.17502411187911912,0.17684818983875875,0.0003970763723150358,0.003370909090909092,0.004503591262495373,2.190624999999999,0.0043618664521319385,0.004560563380281691,2.3034869799461237,0.004439316239316239,0.2350434013824144,0.23832674170976575,0.003920081135902637
1692634005,0.8633475549085659,4.784336505028161,0.7954739191729105,5.833997499757476,0.5407426501620671,12.408907685512498,5.486997371513868,0.2957410714285786,5.892710514448228,4.502565532631323,0.27238802689061264,0.7805996734807078,95510528,40943616,10686464,40935424,42266624,19550208,93020160,37027840,9695232,48402432,3059712,9232384,54,78,0,236,0,50,42,0,218,68,18,0,0,0,0,0.0003334113242863828,0.0019143636983964517,0.5931372549019608,0.001397969291728578,0.0026901408450704226,1.4603004291845494,0.0021965811965811966,0.1750222667557337,0.17691637630662022,0.00040269636576787803,0.0034180790960451984,0.00448877516206073,2.15,0.004353293709757305,0.004560563380281691,2.3037339055793993,0.004439316239316239,0.23504008016032066,0.23844947735191635,0.0039451055662188105
1692634006,0.9059987338485567,4.784336505028161,0.7954739191729105,5.833997499757476,0.5457922261184056,12.408907685512498,5.486997371513868,0.2957410714285786,5.892710514448228,4.502565532631323,0.27238802689061264,0.7805996734807078,95653888,40943616,10686464,40935424,42266624,19550208,93020160,37027840,9695232,48402432,3059712,9232384,44,78,0,222,0,36,36,0,224,74,18,0,0,0,0,0.0003334113242863828,0.0019143636983964517,0.5931372549019608,0.001397969291728578,0.0026901408450704226,1.4603004291845494,0.0021071428571428573,0.1750222667557337,0.17691637630662022,0.00040269636576787803,0.0034180790960451984,0.00448877516206073,2.15,0.004353293709757305,0.004560563380281691,2.3037339055793993,0.004421428571428572,0.23504008016032066,0.23844947735191635,0.0039451055662188105
1692634007,0.9059987338485567,4.784336505028161,0.7954739191729105,5.833997499757476,0.5457922261184056,12.408907685512498,5.51132983352846,0.2957410714285786,5.908356247366687,4.502565532631323,0.27238802689061264,0.7805996734807078,95653888,40943616,10686464,40935424,42266624,19550208,93024256,37027840,9412608,48402432,3059712,9232384,46,52,0,162,0,36,40,2,212,56,24,0,0,0,0,0.0003332554880896777,0.001911513495046122,0.5471698113207548,0.0013951872984371118,0.002683453237410072,1.4591181506849313,0.0020825688073394496,0.17501671495431248,0.17691637630662022,0.0004009378663540445,0.00341923620933522,0.004486163307140418,2.0153846153846167,0.004352865293971719,0.004559712230215828,2.301412671232876,0.00441651376146789,0.23503008691776242,0.23844947735191635,0.00393747572815534
1692634008,0.9059987338485567,4.784336505028161,0.7954739191729105,5.833997499757476,0.5457922261184056,12.408907685512498,5.51132983352846,0.2957410714285786,5.908356247366687,4.502565532631323,0.27238802689061264,0.7805996734807078,95653888,40943616,10686464,40935424,42266624,19550208,93024256,37027840,9412608,48402432,3059712,9232384,44,12,4,202,4,40,32,8,188,28,22,0,0,0,0,0.0003332554880896777,0.001911513495046122,0.5471698113207548,0.0013951872984371118,0.002664233576642336,1.4591181506849313,0.0020825688073394496,0.17501671743814545,0.1769174898314933,0.0004009378663540445,0.00341923620933522,0.004486163307140418,2.0153846153846167,0.004352865293971719,0.004556204379562044,2.301412671232876,0.00441651376146789,0.23503009138866185,0.23845148169668795,0.00393747572815534
1692634009,0.9059987338485567,4.784336505028161,0.7954739191729105,4.969917647848953,0.5457922261184056,12.408907685512498,5.51132983352846,0.2957410714285786,5.908356247366687,4.502565532631323,0.27238802689061264,0.7805996734807078,95653888,40943616,10686464,40935424,42266624,19550208,93024256,37027840,9412608,48402432,3059712,9232384,16,48,0,216,0,16,28,0,208,88,4,0,0,0,0,0.00033024096385542173,0.001910502958579882,0.5047169811320754,0.00138833912810912,0.002664233576642336,1.4561442564559217,0.0020825688073394496,0.1750178997613365,0.17697428139183058,0.00039570917759237185,0.003371558245083207,0.004492159763313611,1.749999999999998,0.004344423642685209,0.004556204379562044,2.298352626892253,0.00441651376146789,0.2350322195704057,0.23855370650529503,0.003913701431492843
1692634010,0.9059987338485567,4.784336505028161,0.7954739191729105,4.872684356186328,0.5457922261184056,12.408907685512498,5.51132983352846,0.2957410714285786,5.908356247366687,4.502565532631323,0.27238802689061264,0.7758439310145709,95653888,40943616,10686464,40935424,42266624,19550208,93024256,37027840,9412608,48402432,3059712,9232384,58.157,56,2,248,2,44,52,2,172,32,16,0,0,0,0,0.00033329428303655105,0.0019166666666666666,0.5129310344827586,0.0013989598811292717,0.002664233576642336,1.4548442412117748,0.0020825688073394496,0.17501674480910917,0.17748024582967514,0.00040248226950354607,0.0034164305949008498,0.004536666666666665,1.6868421052631593,0.0043530955918771675,0.004556204379562044,2.297827950843098,0.00441651376146789,0.2350301406563965,0.23946444249341528,0.0039499029126213595
1692634011,0.9059987338485567,4.784336505028161,0.7954739191729105,4.775451064523704,0.5779864607191525,12.408907685512498,4.67166235027113,0.2957410714285786,5.916167981540185,4.502565532631323,0.27238802689061264,0.7758439310145709,95653888,40943616,10686464,40935424,42266624,19550208,93024256,37027840,9412608,48402432,3059712,9232384,26,90,4,278,4,34,28,2,210,68,28,0,0,0,0,0.00033329428303655105,0.0019166666666666666,0.5129310344827586,0.0013989598811292717,0.002664233576642336,1.4548442412117748,0.0018867924528301887,0.17501674480910917,0.17748024582967514,0.00040248226950354607,0.0034164305949008498,0.004536666666666665,1.6868421052631593,0.0043530955918771675,0.004556204379562044,2.297827950843098,0.004377358490566039,0.2350301406563965,0.23946444249341528,0.0039499029126213595
1692634012,0.9059987338485567,4.784336505028161,0.7954739191729105,3.3771639024996603,0.5779864607191525,12.408907685512498,5.479081039839212,0.2957410714285786,5.916167981540185,4.590474082621757,0.27238802689061264,0.7758439310145709,95653888,40943616,10686464,40935424,42266624,19550208,93024256,37027840,9412608,48402432,3059712,9232384,50,84,2,314,2,50,48,2,236,62,24,0,0,0,0,0.00033387995323442047,0.0019193492557978537,0.49662162162162166,0.0014013344865933522,0.002673758865248227,1.4520606754436176,0.0019272727272727273,0.17501115324559446,0.17748024582967514,0.00040484633569739945,0.003424800502216733,0.004535617860851506,1.379411764705881,0.0043518349190658605,0.004557446808510638,2.2959072696050375,0.004385454545454546,0.23502007584207005,0.23946444249341528,0.003959847036328872
