time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692603380,1.0022455091083426,4.277878988153552,0.9783325953891521,6.820062798819,0.5989534838370959,13.810930840375669,6.015719781179799,0.4151649856520333,6.827016671271616,4.733851616748049,0.31992425950252074,0.7963565279522294,88137728,40497152,10452992,42340352,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,72,106,4,376,4,68,50,8,598,78,30,0,0,0.00035381103612544665,0.0023181652507008243,0.02438231644540288,0.0016046229178881136,0.0026208534488631877,0.022674941360437843,0.002735463253469259,0.000322332903908627,0.003492401215805471,0.0004109341009361275,0.003685491723466408,0.004891331929197833,2.5755634308131548,0.0045408124914084755,0.0046388585757640025,0.19898854961832063,0.004658481398378784,0.003293119690913697,0.009214559386973183,0.004040214897421465
1692603381,0.9823323576119105,4.277878988153552,0.9783325953891521,6.799482043291494,0.5989534838370959,13.810930840375669,6.015719781179799,0.4151649856520333,6.827016671271616,4.733851616748049,0.31992425950252074,0.9152617399389034,88137728,40497152,10452992,39936000,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,66,116,8,306,8,50,62,6,648,90,34,0,0,0.00035381103612544665,0.00232145903042508,0.024221628746700155,0.0016095075408326801,0.0026349282701869903,0.022351759755164503,0.0027485262103642987,0.0003225779257429976,0.003492401215805471,0.0004151147178865734,0.003685491723466408,0.0048899197804811575,2.485108038021169,0.004541017216158913,0.0046409377950933275,0.14902597402597353,0.004655549040306533,0.0032976802807867128,0.009214559386973183,0.0040546562736270995
1692603382,1.0349746842430654,4.277878988153552,0.9783325953891521,6.799482043291494,0.5989534838370959,13.810930840375669,6.015719781179799,0.4151649856520333,6.827016671271616,4.733851616748049,0.31992425950252074,0.9152617399389034,88268800,40497152,10452992,39936000,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,80.266,106,4,426,4,74,58,6,632,82,26,0,0,0.0003555370524562864,0.00232144648503567,0.024222068617341705,0.0016683185628911025,0.0025903667170352005,0.022351759755164503,0.0027484649122062727,0.00032084057635823845,0.003470017133066819,0.00041510023640934626,0.0037031155778894462,0.004889920551860524,2.4852234175542782,0.004543463167629204,0.004628115571773305,0.14902597402597353,0.004655519967465869,0.003264627044677286,0.009042443064182192,0.004054590656552017
1692603383,1.0349746842430654,4.066799019757071,0.9783325953891521,6.799482043291494,0.5177403827078176,13.810930840375669,6.015719781179799,0.4151649856520333,6.827016671271616,4.733851616748049,0.31992425950252074,0.9152617399389034,88268800,40497152,10452992,39936000,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,68,120,6,418,6,58,58,4,720,90,42,0,0,0.0003501373087485289,0.0023214344654785214,0.024222490180412354,0.0015179372814972543,0.0025902797248732942,0.022351759755164503,0.002748406166709235,0.000322651619908642,0.003448117041452181,0.0004150863623340955,0.0036506986027944124,0.004889921290907999,2.485333969242465,0.004512094289933083,0.004628082282613137,0.14902597402597353,0.004655492105315845,0.0032990436214469037,0.008860082304526753,0.004054527781340992
1692603384,1.0349746842430654,4.996339486203622,0.9783325953891521,6.799482043291494,0.5077578246438661,13.810930840375669,6.015719781179799,0.3614680077022278,6.827016671271616,3.925432060977332,0.31992425950252074,0.9152617399389034,88268800,40542208,10452992,39936000,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,52,106,8,276,8,40,58,4,598,80,40,0,0,0.0003455465587044534,0.0022689557341693378,0.023456026188912793,0.0013872081844572618,0.0025901962801764523,0.02234230614704701,0.002759734137504714,0.00032482400584145376,0.003438084443185038,0.00042276680841685997,0.0036058378378378358,0.004908495242785446,2.0242691235969392,0.004492526129957894,0.004628050350956107,0.14380000000000043,0.004662591890365158,0.003346311769299285,0.008931192660550463,0.004086571170359159
1692603385,1.0349746842430654,4.996339486203622,0.9783325953891521,6.799482043291494,0.49777526657991444,13.810930840375669,6.015719781179799,0.35454859127469396,6.827016671271615,4.005697307108457,0.31992425950252074,0.9152617399389034,88268800,40542208,10452992,39936000,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,68,126,8,438,8,68,62,10,662,76,46,0,0,0.0003467365967365967,0.0023206234636516426,0.023482885081964604,0.0015113963659954197,0.0025901161702820276,0.022185714285714284,0.0027401838894126652,0.00032013451000787173,0.0034336043360433605,0.00041875849746415356,0.0036188524590163927,0.004892285627016088,1.9218559911427178,0.004501150006320344,0.004628019695422917,0.12362500000000015,0.004670015306522783,0.003251435982204094,0.008806941431670292,0.004068742575294948
1692603386,1.0349746842430654,4.996339486203622,0.9783325953891521,6.799482043291494,0.62447523935292,13.810930840375669,6.015719781179799,0.3476291748471601,6.827016671271615,4.81591476786758,0.31992425950252074,0.7930463313261171,88268800,40542208,10452992,39936000,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,66,102,4,296,4,50,52,2,610,80,28,0,0,0.0003467365967365967,0.002326444671696704,0.023272909963010714,0.00151994992050747,0.0026237330461378063,0.022157142857142858,0.0027698410923679023,0.0003205227933239161,0.0034336043360433605,0.0004264556078633994,0.0036188524590163927,0.004889777309197049,1.7951167867380942,0.00450171601360176,0.004631633032100131,0.11522499999999952,0.004682838339210937,0.0032594367776849695,0.008806941431670292,0.004092353793726032
1692603387,1.0349746842430654,4.996339486203622,0.9136654116865848,6.799482043291494,0.62447523935292,13.810930840375669,6.015719781179799,0.34070975841962614,6.827016671271615,4.81591476786758,0.31992425950252074,0.7777919689938021,88268800,40542208,10452992,39936000,41865216,19914752,54210560,27131904,9015296,44146688,3059712,8597504,64,124,10,342,10,68,58,8,692,78,44,0,0,0.00035218376596621347,0.0023264330449658094,0.02327315539855902,0.0016496024072506423,0.0025759760646190477,0.022157142857142858,0.0027697908262438674,0.0003186431044185889,0.003452,0.0004264413961062134,0.0036753086419753105,0.004889778580154523,1.7952305021152275,0.004528055657965225,0.004617535451107993,0.11522499999999952,0.004682816844571315,0.003221068809871223,0.008976923076923087,0.004092298684879007
1692603388,1.0349746842430654,4.996339486203622,0.9136654116865848,6.799482043291494,0.62447523935292,13.713244904333227,5.018049449835242,0.43805303195748696,6.827016671271615,4.787207811168411,0.31992425950252074,0.7625376066614871,88268800,40542208,10452992,39936000,41865216,19914752,54210560,27426816,9015296,44146688,3059712,8597504,50,82,4,276,4,50,46,4,532,60,34,0,0,0.0003465953307392996,0.0023264218592894226,0.02327339158294006,0.001511831618613112,0.002575899022541838,0.022157142857142858,0.002769742455175531,0.0003205120076370577,0.003429769959404601,0.0004264277238617074,0.0036174717368961987,0.004889779802898833,1.795339912372986,0.004499751396881976,0.004617509182135411,0.11522499999999952,0.004682796160289365,0.003258909167540574,0.008767467248908303,0.004092245660006389
1692603389,1.0349746842430654,4.996339486203622,0.7608853270957264,6.799482043291494,0.6262231960911445,14.095251640953729,5.990568290375242,0.43805303195748696,6.742788110514226,4.787207811168411,0.31992425950252074,0.7472832443291719,88268800,40542208,10452992,39936000,41865216,19951616,54210560,27426816,9015296,44146688,3059712,8597504,52,112,6,252,6,38,52,6,548,74,46,0,0,0.0003454545454545454,0.0022854482904705073,0.022442296240870126,0.0013984452552385292,0.0025758248297229206,0.02234708249496982,0.002786959385367626,0.0003244816033731744,0.003429054054054054,0.00043338598443249743,0.0036075675675675666,0.004906141553028231,0.14443869456086336,0.004490988055448951,0.004617483884672044,0.12242500000000006,0.004694475937338081,0.0033396849094106474,0.008844186046511627,0.004117101429598556
1692603390,1.0349746842430654,4.996339486203622,1.0066484063703953,6.799482043291494,0.6262231960911445,14.095251640953729,5.990568290375242,0.43805303195748696,6.742788110514226,4.787207811168411,0.25528793978518555,0.9433528999999975,88268800,40542208,10657792,39936000,41865216,19951616,54210560,27426816,9015296,44146688,3059712,8617984,60,108,6,334,6,56,64,8,684,84,38,0,0,0.000346677030703459,0.002320132795024466,0.02221146416732967,0.0015220466076375087,0.0025757533309673348,0.022212818562190945,0.00272400393164909,0.00031967580737785235,0.0034210244033252885,0.0004233337934156288,0.003620944558521562,0.00488838178094556,0.07241138064106285,0.004500436068784892,0.004617459505801197,0.10202499999999952,0.0046762642479480174,0.00324135330886679,0.008682119205298022,0.004081271068105575
