time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1702375110,2.1078237002087024,10.021979849548408,1.1511435815667725,10.69176310177255,0.8714078693131925,18.512319293331878,11.114221858599512,0.5176528731333321,8.244202915561443,7.757453511602883,0.5913914559304636,1.2186794844707443,94064640,53080064,10735616,79028224,41816064,16220160,57331712,36831232,9121792,46149632,3010560,8822784,58,128,10,290,8,48,58,10,524,72,40,0,0,0.0030805046560528687,0.004026455026455027,0.04388297872340425,0.003007784083699916,0.0031237113402061856,0.07422161172161171,0.0031925133689839577,0.0022810080461515107,0.007549804687500001,0.0027200267916945744,0.0048045058576149,0.009197545295149033,0.09598214285714285,0.004953758475266733,0.004822680412371135,0.2094005305039788,0.004946524064171124,0.004889863873285765,0.024794003868471973,0.00461687876758205
1702375111,2.1078237002087024,10.021979849548408,0.9899483063157654,10.69176310177255,0.8714078693131925,18.512319293331878,11.114221858599512,0.5176528731333321,8.244202915561443,7.757453511602883,0.5936053754105158,1.2186794844707443,94064640,53080064,10735616,79028224,41816064,16220160,57331712,36831232,9121792,46149632,3010560,8822784,60,142,6,393.195,8,74,66,6,824,110,48,0,0,0.0030781484821160205,0.003990078328981723,0.042431972789115646,0.0029921968409791703,0.003090909090909091,0.07422161172161171,0.0031333333333333335,0.002203770198580293,0.007549778593005604,0.0027185385656292283,0.004800300571085062,0.009148589341692787,0.09163043478260868,0.004933320747592978,0.004763636363636364,0.2094005305039788,0.00484,0.00486477982493074,0.02479398591031886,0.004619485791610284
1702375112,2.1078237002087024,10.021979849548408,1.2544073004935337,10.69176310177255,0.8124555160142316,18.512319293331878,11.114221858599512,0.5176528731333321,8.244202915561443,7.764700360799037,0.5936053754105158,1.2186794844707443,94064640,53080064,10895360,79028224,41816064,16220160,57331712,36831232,9121792,46149632,3010560,8822784,36,58,4,288,4,46,32,2,380.316,46.316,20,0,0,0.00307077983088005,0.003912856782015661,0.041579861111111116,0.0029564622303330504,0.003090909090909091,0.0728705882352941,0.0031333333333333335,0.0021141084334499217,0.007341693740804009,0.0027021572720946417,0.004789539617914187,0.008958815958815957,0.08776315789473688,0.004881405201068891,0.004763636363636364,0.20624715261959,0.00484,0.004768705180444142,0.020811347704564873,0.004605010438413361
1702375113,2.1078237002087024,10.021979849548408,1.2544073004935337,10.775728888122234,0.8124555160142316,18.512319293331878,11.114221858599512,0.5176528731333321,8.244202915561443,7.764700360799037,0.5936053754105158,1.2186794844707443,94064640,53080064,10895360,79028224,41816064,16220160,57331712,36831232,9121792,46149632,3010560,8822784,58,98,6,426,8,62,58,6,582,58,34,0,0,0.003077201447527141,0.003962908011869436,0.041916666666666665,0.0029775531793581065,0.003090909090909091,0.07342332123411976,0.0031333333333333335,0.0021845194955790693,0.007344559585492227,0.0027431318681318683,0.004798793727382388,0.008994961470065203,0.0880681818181818,0.004905577894999716,0.004763636363636364,0.20710483870967736,0.00484,0.004789109532782528,0.02022645290581162,0.0046167582417582405
1702375114,2.1078237002087024,10.021979849548408,1.2544073004935337,10.775728888122234,0.8124555160142316,18.512319293331878,11.114221858599512,0.4516334387884135,8.244202915561443,7.764700360799037,0.5936053754105158,1.2919679258369627,94064640,53080064,10895360,79028224,41816064,16220160,57331712,36831232,9121792,46149632,3010560,8749056,48,48,0,203.093,0,26,30,0,262,36,0,0,0,0.003077201447527141,0.003962907926994826,0.041916648991162916,0.0029775620541431036,0.0030909104567805063,0.0729194934418815,0.003133335298478891,0.002184520005551294,0.007344559585492227,0.0027202913806781896,0.004798793727382388,0.008994961179759894,0.08806814366339755,0.004905584403337072,0.0047636388222049115,0.2052990301724138,0.004840003537262003,0.004789109582826257,0.02022645290581162,0.004611294618249865
1702375115,2.1078237002087024,10.021979849548408,1.2544073004935337,10.775728888122234,0.8124555160142316,14.634783492586415,11.114221858599512,0.5672435294794765,8.167940171418921,7.736880839062205,0.5936053754105158,1.3390181550327223,94064640,53080064,10895360,79028224,41816064,16220160,57331712,37265408,8962048,46145536,3010560,8749056,52,96,2,372,4,52,60,2,510,66,34,0,0,0.003077201447527141,0.003962908011869436,0.041916666666666665,0.0029775560838976515,0.0030972972972972976,0.0729194934418815,0.003118918918918919,0.00216308948757532,0.007344559585492227,0.0027202889034799735,0.004798793727382388,0.008994961470065203,0.0880681818181818,0.00490558008213269,0.0047751351351351355,0.2052990301724138,0.0048140540540540545,0.004739056819879487,0.02022645290581162,0.0046112934996717005
1702375116,2.1078237002087024,10.021979849548408,1.2544073004935337,10.775728888122234,0.6663760142348727,15.004710122836833,11.114221858599512,0.5672435294794765,8.167940171418921,7.736880839062205,0.5936053754105158,1.3390181550327223,94064640,53080064,10895360,79028224,41816064,16449536,57331712,37265408,8962048,46145536,3010560,8749056,80,126,2,430,0,66,70,2,700,92,28,0,0,0.0030760410380205193,0.003940845070422536,0.04203020134228188,0.002970132396310473,0.0030923076923076924,0.0729194934418815,0.0030923076923076924,0.0021154774772449893,0.007344539134689242,0.002718791064388962,0.004793844296922149,0.008943785134291069,0.08670212765957445,0.004900834535985442,0.004766153846153845,0.2052990301724138,0.004766153846153845,0.004724534503836734,0.020226393475907385,0.004608935611038108
1702375117,2.1078237002087024,10.021979849548408,1.2544073004935337,10.775728888122234,0.8720114705551542,15.312800292154598,11.114221858599512,0.5672435294794765,8.167940171418921,7.736880839062205,0.5936053754105158,1.3390181550327223,94064640,53080064,10895360,79028224,41816064,16449536,57331712,37265408,8962048,46145536,3010560,8749056,70,88,0,370,0,60,52,0,558.274,66.274,22,0,0,0.003055851898336994,0.003848258706467662,0.04149659863945578,0.0029333147674458432,0.0030923076923076924,0.07134766527970411,0.0030923076923076924,0.00201734045770743,0.007134146341463415,0.002703050847457627,0.004759774082208974,0.008740092470277412,0.08155555555555558,0.004847961380123119,0.004766153846153845,0.20157445556209538,0.004766153846153845,0.004617038007863695,0.01470154185022028,0.004597016949152542
1702375118,2.1078237002087024,8.075358333024615,1.2816546848503718,10.775728888122234,0.8720114705551542,15.620890461472358,11.114221858599512,0.5672435294794765,8.167940171418921,7.736880839062205,0.5935224223840541,1.3390181550327223,94064640,53080064,10895360,79028224,41816064,16449536,57331712,37265408,8962048,46145536,3010560,8749056,63.447,92.828,3.906,403.475,0,68.611,66.406,4,626.055,74.058,39.34,0,0,0.0030601101732824535,0.003888970530614826,0.04177856038353508,0.0029578216051713234,0.0030923022840740346,0.07168867030842982,0.003092291916648176,0.0020830556849296853,0.007167525577581902,0.0027314143635150646,0.004764921575162273,0.008811317486355446,0.0838298070093219,0.004876531335386397,0.004766144111333262,0.20221186165512375,0.004766125449966717,0.004635464262086823,0.01475286118489665,0.004602418465265853
1702375119,2.1078237002087024,9.817169659939355,1.2816546848503718,10.775728888122234,0.8720114705551542,18.485410159065825,11.159643631856273,0.5672435294794765,8.167940171418921,7.736880839062205,0.5935224223840541,1.3390181550327223,94064640,53080064,10895360,79028224,41816064,16449536,57331712,37265408,8962048,46145536,3010560,8749056,53.888,60.021,0,224.039,0,38.186,33.865,0,436.393,60.147,7.913,0,0,0.0030601084206436004,0.0038891986413820846,0.04177852632808727,0.0029578478648208508,0.0030923022831652273,0.07045260353891922,0.0030922994883836484,0.002083161558403786,0.007166922689260661,0.002709014917754696,0.004764919358771518,0.008811638100827,0.08382978875532995,0.004876549096267266,0.004766144109697409,0.19985598324417173,0.004766139079090567,0.0046354682112679305,0.014749443104009512,0.004596575300980914
