time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,InboundPassthroughClusterIpv4_load,PassthroughCluster_load,adservice_load,carts_load,cartservice_load,catalogue_load,checkoutservice_load,currencyservice_load,emailservice_load,front-end_load,frontend_load,frontend-external_load,orders_load,paymentservice_load,productcatalogservice_load,recommendationservice_load,shippingservice_load,adservice_latency,cartservice_latency,checkoutservice_latency,currencyservice_latency,emailservice_latency,frontend_latency,paymentservice_latency,productcatalogservice_latency,recommendationservice_latency,shippingservice_latency,time,InboundPassthroughClusterIpv4_error,PassthroughCluster_error,carts_error,catalogue_error,frontend_error,frontend-external_error,orders_error
1685371155,1.24645615523703,6.88152913533412,1.572934166979674,8.459776550568723,0.8628018916746651,19.386200091826346,7.583978334751605,0.536552120021507,10.471257877587764,7.1189737057617695,0.5029397100976336,1.3090967489201366,100532224.0,53784576.0,11874304.0,40415232.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46505984.0,2957312.0,9363456.0,0.0,0.0,58.0,2.0,76.0,2.0,0.0,260.0,0.0,2.0,46.0,48.0,2.0,0.0,564.0,62.0,26.0,0.004612145748987855,0.004841333144668935,0.04761111111111111,0.004949565198732308,0.0046,0.22040441176470596,0.004739805825242719,0.004595709167106751,0.00989612676056338,0.00474019998178464,1685371737.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371156,1.2724946483404413,6.88152913533412,1.572934166979674,8.459776550568723,0.891457725001462,19.386200091826346,7.4536826090747725,0.536552120021507,10.471257877587764,7.1189737057617695,0.5029397100976336,1.3090967489201366,100532224.0,53784576.0,11874304.0,40415232.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46505984.0,2957312.0,9363456.0,0.0,0.0,24.0,2.0,32.0,2.0,0.0,160.0,0.0,2.0,12.0,24.0,2.0,0.0,264.0,14.0,2.0,0.004612145748987854,0.004840307204978249,0.04761111111111111,0.00494854998336262,0.0046,0.22040441176470585,0.0047333333333333324,0.004596596474203919,0.00989612676056338,0.004738276925097334,1685371738.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371157,1.2985331414438526,6.88152913533412,1.572934166979674,8.459776550568723,0.891457725001462,19.386200091826346,7.4536826090747725,0.536552120021507,10.46756932107126,6.2066970002953585,0.5029397100976336,1.3090967489201366,100532224.0,53784576.0,11874304.0,40415232.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46505984.0,2957312.0,9363456.0,0.0,0.0,122.0,2.0,198.0,2.0,0.0,460.0,0.0,2.012,104.0,86.0,2.0,0.0,842.0,104.0,36.0,0.004660523038605231,0.004877584973475993,0.04758152173913044,0.00495780028879479,0.0046,0.2204044117647059,0.004733333333333333,0.004622278830589822,0.009968219178082192,0.004748650557184637,1685371739.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371158,1.30279747194574,6.88152913533412,1.6391153434830552,8.459776550568723,0.891457725001462,19.386200091826346,7.4536826090747725,0.536552120021507,10.46756932107126,6.95234426510843,0.5029397100976336,1.3090967489201366,100593664.0,53784576.0,11874304.0,40415232.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46497792.0,2957312.0,9363456.0,0.0,0.0,42.0,2.0,68.0,2.0,8.0,223.439,4.0,2.016,36.0,34.0,2.0,8.0,510.0,64.0,28.0,0.004660523038605231,0.004877584946804178,0.04758152173913044,0.004957800251225596,0.0046,0.22389183055975795,0.004733333333333333,0.00462228020674904,0.009968219178082192,0.0047486504617233445,1685371740.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371159,1.5403745776365507,6.88152913533412,1.6391153434830552,6.7121591498559035,0.891457725001462,19.386200091826346,7.462577420731348,0.536552120021507,10.46756932107126,6.95234426510843,0.5029397100976336,1.3090967489201366,100593664.0,53784576.0,11874304.0,40079360.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46497792.0,2957312.0,9363456.0,0.0,0.0,90.0,2.0,144.0,2.0,4.0,505.581,6.0,2.0,82.0,68.0,2.0,4.0,678.0,84.0,36.0,0.004660523038605231,0.004877584921059656,0.04758152173913044,0.004957800214962551,0.0046,0.22389183055975792,0.004733333333333334,0.004622281534658255,0.009968219178082192,0.004748650369581038,1685371741.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371160,1.5403745776365507,6.538821951554088,1.6391153434830552,6.8542520164463685,0.891457725001462,19.386200091826346,7.462577420731348,0.536552120021507,10.46756932107126,6.95234426510843,0.5029397100976336,1.3090967489201366,100593664.0,53784576.0,11874304.0,40079360.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46497792.0,2957312.0,9363456.0,0.0,0.0,72.0,2.0,120.0,1.992,4.0,364.0,4.0,2.0,60.0,70.0,2.0,4.0,648.0,86.0,40.0,0.004660523038605231,0.004877584896194895,0.04758152173913044,0.004957800179938708,0.0046,0.22389183055975792,0.004733333333333333,0.004622282816811177,0.00996821917808219,0.004748650280587578,1685371742.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371161,1.5403745776365507,6.3046992210655395,1.6391153434830552,6.996344883036832,0.891457725001462,19.386200091826346,7.462577420731348,0.536552120021507,10.46756932107126,6.95234426510843,0.5029397100976336,1.3090967489201366,100593664.0,53784576.0,11874304.0,40079360.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46497792.0,2957312.0,9363456.0,0.0,0.0,56.0,2.0,104.0,2.0,4.0,302.0,4.0,2.0,48.0,42.0,2.0,6.0,598.0,80.0,22.0,0.004660523038605231,0.004877143186781531,0.04758152173913044,0.004956483056022134,0.0046,0.22389183055975792,0.004755172413793102,0.004623275293593926,0.00996821917808219,0.0047500047822346,1685371743.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371162,1.5403745776365507,6.3046992210655395,1.6391153434830552,7.138437749627297,0.873721646073726,19.318844978309006,7.462577420731348,0.536552120021507,10.46756932107126,6.95234426510843,0.5029397100976336,1.3090967489201366,100593664.0,53784576.0,11874304.0,40079360.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46497792.0,2957312.0,9363456.0,0.0,0.0,76.0,2.0,86.0,2.0,4.0,344.0,2.0,2.0,48.0,48.0,2.0,4.0,522.0,66.0,16.0,0.004655164585698071,0.004882940963419051,0.04772277227722772,0.004981456953642385,0.0046,0.22389183055975795,0.004755172413793102,0.004619977129311479,0.009962556165751374,0.004748061104582844,1685371744.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371163,1.5403745776365507,6.3046992210655395,1.5920258686486721,7.28053061621776,0.873721646073726,19.318844978309006,7.462577420731348,0.536552120021507,10.46756932107126,6.95234426510843,0.5029397100976336,1.3090967489201366,100593664.0,53784576.0,12066816.0,40079360.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46497792.0,2957312.0,9363456.0,0.0,0.0,66.0,2.0,154.0,2.0,8.0,426.0,8.0,2.0,74.0,62.0,2.0,8.0,778.0,102.0,50.0,0.004655164585698071,0.004882940963419051,0.04772277227722772,0.004981456953642385,0.0046,0.22510685335298455,0.004755172413793102,0.004619971069775538,0.009962556165751374,0.004748061104582844,1685371745.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1685371164,1.5403745776365507,6.3046992210655395,1.5920258686486721,8.525571995427836,0.873721646073726,19.318844978309006,7.462577420731348,0.536552120021507,10.46756932107126,6.95234426510843,0.5029397100976336,1.3090967489201366,100593664.0,53784576.0,12066816.0,40079360.0,42438656.0,17588224.0,91697152.0,35880960.0,9592832.0,46497792.0,2957312.0,9363456.0,0.0,0.0,74.0,2.0,124.0,2.0,4.0,402.891,6.0,2.0,64.0,64.0,2.0,4.0,690.0,80.0,40.0,0.004655164585698071,0.004882940963419051,0.04772277227722772,0.004981456953642385,0.0046,0.22510685335298455,0.004755172413793102,0.004619971069775538,0.009962556165751374,0.004748061104582844,1685371746.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
