time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,PassthroughCluster_load,adservice_load,cartservice_load,checkoutservice_load,currencyservice_load,emailservice_load,frontend_load,frontend-external_load,paymentservice_load,productcatalogservice_load,recommendationservice_load,shippingservice_load,adservice_latency,cartservice_latency,checkoutservice_latency,currencyservice_latency,emailservice_latency,frontend_latency,paymentservice_latency,productcatalogservice_latency,recommendationservice_latency,shippingservice_latency,time,PassthroughCluster_error,frontend_error,frontend-external_error
1685520909,3.075811209891562,5.381895515723614,1.02135043800229,4.190045779633825,0.7778566608391337,18.559551992759545,5.251397637138171,0.4038977706128084,9.883492113018036,12.595613028397127,0.4520985077700217,0.8985455897177558,98865152.0,53915648.0,11816960.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,10047488.0,47718400.0,3022848.0,9248768.0,0.0,4.008,7.968,0.0,63.682,0.0,37.698,37.698,0.0,281.802,55.122,11.928,0.12814159292035393,0.20059985997544835,0.48625,0.1685425835587734,0.0046,4.719135802469135,0.0046,0.2290405455962124,0.3351190476190476,0.07459353606827762,1685520909,0.0,0.0,0.0
1685520910,2.6804071349399745,5.381895515723614,1.02135043800229,4.190045779633825,0.7778566608391337,18.559551992759545,5.251397637138171,0.4038977706128084,9.883492113018036,12.595613028397127,0.5007874225472487,0.8985455897177558,98865152.0,53915648.0,11816960.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,10047488.0,47718400.0,3153920.0,9248768.0,0.0,18.0,180.858,0.0,234.466,0.0,42.169,32.129,0.0,238.777,79.362,40.356,0.12814159292035407,0.20059991520809575,0.4862500000000001,0.16854269999382626,0.0046,4.719135802469135,0.0046,0.22903967847100395,0.3351190476190477,0.07459387120878665,1685520910,0.0,0.0,0.0
1685520911,2.629143614775115,5.381895515723614,1.02135043800229,4.190045779633825,0.7778566608391337,18.559551992759545,5.251397637138171,0.4038977706128084,9.883492113018036,12.595613028397127,0.5007874225472487,0.8985455897177558,98865152.0,53915648.0,11816960.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,10047488.0,47718400.0,3153920.0,9248768.0,0.0,182.0,153.029,11.515,500.059,11.503,176.0,176.0,11.515,1014.544,108.0,87.029,0.12814159292035407,0.20060106537677008,0.48624999999999996,0.1685451245469371,0.0046,4.719135802469136,0.0046,0.22903972303970324,0.3351190476190479,0.07460084991446111,1685520911,0.0,0.0,0.0
1685520912,2.5778800946102556,5.381895515723614,1.02135043800229,4.190045779633825,0.7778566608391337,18.559551992759545,5.251397637138171,0.4038977706128084,10.518999475189164,9.56319919899902,0.5007874225472487,0.8176932738503004,98865152.0,53915648.0,11816960.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,9969664.0,47718400.0,3153920.0,9248768.0,0.0,42.0,72.0,0.0,226.0,0.0,38.0,38.0,0.0,410.0,54.0,16.0,0.1281415929203541,0.20059980386269674,0.48625,0.16854246526794148,0.0046,4.719135802469136,0.0046,0.2290390953533906,0.3351190476190476,0.0745931955861919,1685520912,0.0,0.0,0.0
1685520913,3.165247937548544,5.381895515723614,1.02135043800229,4.190045779633825,0.7778566608391337,18.559551992759545,5.251397637138171,0.4038977706128084,10.518999475189164,9.75807421706374,0.48733809980389564,0.8176932738503004,98803712.0,53915648.0,11816960.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,9969664.0,47718400.0,3153920.0,9248768.0,0.0,50.0,84.0,2.0,304.0,2.0,56.0,56.0,2.0,586.0,66.0,34.0,0.128141592920354,0.19968186164598567,0.48625,0.16755126898727504,0.0046,4.719135802469136,0.0046,0.22831036957685916,0.3351190476190479,0.07222464508148622,1685520913,0.0,0.0,0.0
1685520914,3.165247937548544,5.381895515723614,1.02135043800229,4.190045779633825,0.7778566608391337,18.559551992759545,5.251397637138171,0.4038977706128084,10.518999475189164,11.692501083883181,0.48733809980389564,0.8176932738503004,98803712.0,53915648.0,11816960.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,9969664.0,47718400.0,3153920.0,9248768.0,0.0,50.0,88.0,4.0,262.0,3.996,48.0,48.0,4.0,552.0,64.0,26.0,0.11147826086956532,0.19465767039451665,0.46875000000000006,0.1581111961729199,0.0046,4.672539149888142,0.0046,0.22464804822866682,0.31109467455621304,0.07239722751531724,1685520914,0.0,0.0,0.0
1685520915,3.165247937548544,5.381895515723614,1.1002320738509295,4.190045779633825,0.7750808860128904,18.559551992759545,5.251397637138171,0.4038977706128084,10.518999475189164,11.301024439745259,0.48733809980389564,0.8176932738503004,98803712.0,53915648.0,11874304.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,9969664.0,47722496.0,3153920.0,9248768.0,0.0,36.0,70.0,2.0,172.0,4.004,24.0,24.0,4.0,292.0,50.0,10.0,0.11147826086956522,0.19465760264501808,0.4687500000000001,0.1581110626135226,0.0046,4.672539149888143,0.0046,0.22464776791153673,0.3110946745562133,0.0723968612813569,1685520915,0.0,0.0,0.0
1685520916,3.165247937548544,5.381895515723614,1.2957075543651706,3.920276865102574,0.7750808860128904,18.559551992759545,4.443440936233145,0.4038977706128084,10.518999475189164,11.301024439745259,0.48733809980389564,0.8176932738503004,98803712.0,53915648.0,11874304.0,39284736.0,42405888.0,26419200.0,79802368.0,35823616.0,9969664.0,47722496.0,3153920.0,9248768.0,0.0,46.0,112.0,12.0,288.0,12.0,48.0,48.0,12.0,646.0,86.0,44.0,0.11147826086956517,0.19465753731018395,0.46875,0.15811093381390293,0.0046,4.672539149888143,0.0046,0.22464749845091567,0.31109467455621315,0.07239650809920935,1685520916,0.0,0.0,0.0
1685520917,3.165247937548544,5.381895515723614,1.2957075543651706,3.920276865102574,0.7750808860128904,18.66871664137087,3.3306927699999282,0.4038977706128084,10.518999475189164,11.301024439745259,0.48733809980389564,0.8176932738503004,98803712.0,53915648.0,11874304.0,39284736.0,42405888.0,22544384.0,79802368.0,35823616.0,9969664.0,47722496.0,3153920.0,9248768.0,0.0,52.0,78.0,6.0,352.0,5.992,52.0,52.0,6.0,595.349,62.0,38.048,0.11147826086956523,0.19465747426323765,0.4687500000000001,0.15811080952418125,0.0046,4.672539149888143,0.0046,0.22464723922746188,0.3110946745562132,0.0723961672836779,1685520917,0.0,0.0,0.0
1685520918,3.165247937548544,5.381895515723614,1.2957075543651706,3.920276865102574,0.7750808860128904,18.66871664137087,5.7605926051593705,0.4078766513746784,10.518999475189164,11.301024439745259,0.48733809980389564,0.8176932738503004,98803712.0,53915648.0,11874304.0,39284736.0,42405888.0,22544384.0,79822848.0,35823616.0,9969664.0,47722496.0,3153920.0,9248768.0,0.0,58.0,100.0,4.0,212.0,4.0,50.0,50.0,4.0,624.0,84.0,34.0,0.11147826086956554,0.19394264404926095,0.4687499999999999,0.15738400224770788,0.0046,4.672539149888143,0.0046,0.22394329138790356,0.31109467455621337,0.07075942971819188,1685520918,0.0,0.0,0.0
